Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Nic Dowd,33,WSH,C,64,12,10,22,-2,47
Marcus Foligno,32,MIN,LW,55,10,12,22,10,59
Kaiden Guhle,22,MTL,D,70,6,16,22,-8,56
Kasperi Kapanen,27,STL,RW,73,6,16,22,-5,14
Hendrix Lapierre,21,WSH,C,51,8,14,22,-1,4
Brett Leason,24,ANA,RW,68,11,11,22,-7,14
Michael McCarron,28,NSH,RW,70,12,10,22,4,100
Kyle Okposo,35,2TM,RW,67,12,10,22,1,34
Kyle Okposo,35,BUF,RW,61,12,10,22,1,32
Kyle Okposo,35,FLA,RW,6,0,0,0,0,2
Alexander Romanov,24,NYI,D,81,7,15,22,23,20
Jacob Trouba,29,NYR,D,69,3,19,22,-4,73
Sean Walker,29,2TM,D,81,10,19,29,11,50
Sean Walker,29,PHI,D,63,6,16,22,9,34
Sean Walker,29,COL,D,18,4,3,7,2,16
William Cuylle,21,NYR,LW,81,13,8,21,-3,56
Mario Ferraro,25,SJS,D,78,3,18,21,-38,36
Calle Järnkrok,32,TOR,C,52,10,11,21,16,18
Michael Kesselring,24,ARI,D,65,5,16,21,11,66
Beck Malenstyn,25,WSH,LW,81,6,15,21,-1,25
Oskar Sundqvist,29,STL,C,71,6,15,21,-6,32
Alexey Toropchenko,24,STL,RW,82,14,7,21,-3,30
Jake Walman,27,DET,D,63,12,9,21,-2,44
Blake Wheeler,37,NYR,RW,54,9,12,21,2,23
Yegor Zamula,23,PHI,D,66,5,16,21,3,32
Josh Anderson,29,MTL,RW,78,9,11,20,-18,74
Erik Brännström,24,OTT,D,76,3,17,20,5,36
Bowen Byram,22,2TM,D,73,11,18,29,0,53
Bowen Byram,22,COL,D,55,8,12,20,1,40
Bowen Byram,22,BUF,D,18,3,6,9,-1,13
Alexandre Carrier,27,NSH,D,73,4,16,20,7,44
Ben Chiarot,32,DET,D,77,5,15,20,-4,56
Brenden Dillon,33,WPG,D,77,8,12,20,20,92
Henri Jokiharju,24,BUF,D,74,3,17,20,14,24
Tye Kartye,22,SEA,F,77,11,9,20,-1,37
Dmitry Kulikov,33,FLA,D,76,1,19,20,15,63
Valtteri Puustinen,24,PIT,RW,52,5,15,20,4,6
Craig Smith,34,DAL,C,75,11,9,20,2,33
Philip Tomasino,22,NSH,C,41,7,13,20,-6,25
Jonny Brodzinski,30,NYR,C,57,6,13,19,-3,8
Cal Clutterbuck,36,NYI,RW,82,7,12,19,4,32
Andrew Cogliano,36,COL,LW,75,6,13,19,11,16
Radek Faksa,30,DAL,C,74,7,12,19,0,20
Jesper Fast,32,CAR,RW,73,6,13,19,0,16
Christian Fischer,26,DET,RW,79,5,14,19,0,36
Brett Howden,25,VEG,C,72,8,11,19,-11,39
Kaapo Kakko,22,NYR,RW,61,13,6,19,6,24
David Kämpf,29,TOR,C,78,8,11,19,-4,18
Nils Lundkvist,23,DAL,D,59,2,17,19,13,16
Michael McLeod,25,NJD,C,45,10,9,19,6,10
Simon Nemec,19,NJD,D,60,3,16,19,-7,33
Ryan Pulock,29,NYI,D,58,5,14,19,3,12
Jack Quinn,22,BUF,RW,27,9,10,19,-1,8
Jan Rutta,33,SJS,D,69,5,14,19,-21,38
Braden Schneider,22,NYR,D,82,5,14,19,-1,16
Mikhail Sergachev,25,TBL,D,34,2,17,19,-16,16
Jakob Silfverberg,33,ANA,LW,81,7,12,19,4,24
Michael Anderson,24,LAK,D,74,2,16,18,22,18
Morgan Barron,25,WPG,C,80,11,7,18,10,23
Noah Cates,24,PHI,LW,59,6,12,18,-8,0
Connor Clifton,28,BUF,D,79,4,14,18,12,88
Aaron Ekblad,27,FLA,D,51,4,14,18,27,50
Samuel Girard,25,COL,D,59,3,15,18,0,10
Radko Gudas,33,ANA,D,66,6,12,18,14,128
Parker Kelly,24,OTT,F,80,8,10,18,-8,30
